cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,lnls,lnrs3les,lnrs3t12,lnrs1t3,lnrs3t5,lnrs5t15,lnrsov15,lnot3les,lnot3t12,lnot1t3,lnot3t5,lnot5t15,lnotov15
"4829","0","746223","2706726","1880 Bank","Cambridge","MD","21613","12/31/2014","2/18/2015","SM","304 High Street","DELMARVA BANCSHARES, INC.","3","0","0","4","0","Dorchester","","","1/1/1880","1/1/1934","10/31/2014","Stock","0","1","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","www.1880bank.com","119839","2230","1162","6468","12880","6796","6169","10262","8026","22539","31159","9203","565"
"33785","15377","2713920","3063622","1919 INVESTMENT COUNSEL & TRUST COMPANY, NATIONAL ASSOCIATION","Baltimore","MD","21202","12/31/2014","2/18/2015","N","100 Light Street","STIFEL FINANCIAL CORP.","1","0","0","7","0","Baltimore City","12580","Baltimore-Columbia-Towson, MD","2/16/1993","9/29/1999","10/8/2014","Stock","0","1","OCC","DIF","New York","KANSAS CITY","Baltimore","Richmond","Northeastern","Southeast","http://www.1919ic.com","0","0","0","0","0","0","0","0","0","0","0","0","0"
"57899","0","3317192","4526496","1st Advantage Bank","Saint Peters","MO","63376","12/31/2014","2/18/2015","NM","240 Salt Lick Road","BANC INVESTORS, LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","http://www.1stadvantagebank.com","61238","0","1526","4546","876","0","0","5020","9125","22621","9779","2771","0"
"22039","0","564856","1128415","1st Bank","Sidney","MT","59270","12/31/2014","2/18/2015","SM","120 Second Street, N.W.","1ST UNITED BANCORPORATION, INC.","2","0","0","2","1","Richland","","","6/9/1975","6/9/1975","6/22/2007","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","www.our1stbank.com","23252","174","241","182","34","36","0","5258","6092","5928","3410","1798","99"
"16419","17301","419255","1055780","1st Bank & Trust","Broken Bow","OK","74728","12/31/2014","2/18/2015","SM","710 South Park Drive","SOUTHEASTERN BANCSHARES, INC.","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","http://www/1stbankandtrust.com","67820","1750","3738","454","868","4424","10924","3522","7163","7805","9017","13470","4496"
"30367","5236","148470","0","1st Bank of Sea Isle City","Sea Isle City","NJ","8243","12/31/2014","2/18/2015","SB","4301 Landis Avenue","","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","www.1stbankseaisle.com","173502","1507","8237","5475","4835","14576","72932","31943","8197","8094","7191","1866","4976"
"57298","0","3048487","3559844","1st Bank Yuma","Yuma","AZ","85364","12/31/2014","2/18/2015","NM","2799 South 4th Avenue","WESTERN ARIZONA BANCORP, INC.","4","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","2/21/2012","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","http://www.1stbankyuma.com","157505","262","129","1393","3418","2592","1506","21130","17714","24150","29881","36807","15583"
"3881","0","273149","1135413","1st Bank, National Association.","Texarkana","TX","75503","12/31/2014","2/18/2015","N","3625 Richmond Road","MAGNOLIA BANKING CORPORATION","8","0","1","4","1","Bowie","45500","Texarkana, TX-AR","1/1/1909","1/1/1934","2/20/2013","Stock","0","0","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","WWW.first-banking.com","238791","2499","3330","12054","30502","10151","167","22832","42480","37036","70093","6839","0"
"32487","8322","941653","1064791","1st Cameron State Bank","Cameron","MO","64429","12/31/2014","2/18/2015","NM","124 South Walnut","C & M BANCSHARES, INC.","2","0","0","8","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","www.1stcameron.com","30066","375","2809","4567","3958","2818","5341","1322","1366","1718","3138","1897","730"
"58485","0","3594797","0","1st Capital Bank","Monterey","CA","93940","12/31/2014","2/18/2015","NM","5 Harris Court, Bldg N, # No","","4","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","7/26/2013","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","www.1stcapitalbank.com","326501","1180","1117","8916","57721","26304","0","30532","30142","32770","86993","49845","208"
